model,target_pruning,total_sparsity,conv_sparsity,test_accuracy,test_macro_f1,test_loss,model_size_mb,compressed_size_mb,inference_time_ms_per_image,zero_params,total_params,conv_zero_params,conv_total_params
EfficientNet-B0 Dense,0.0,0.0,0.0,0.7791878172588832,0.7576181678880498,1.3011696924583107,15.596606254577637,14.393548965454102,1.082252124844469,0,4012672,0,3956192
EfficientNet-B0 Pruned 20%,0.2,0.19710133297712845,0.19991522150593297,0.7309644670050761,0.6878021653028245,1.2771776418395453,15.598246574401855,11.859552383422852,1.1245544791826743,790903,4012672,790903,3956192
EfficientNet-B0 Pruned 40%,0.4,0.3944217219847523,0.40005262636393785,0.5355329949238579,0.5185034387751389,1.4889060561427006,15.598246574401855,9.270306587219238,1.1186097479108625,1582685,4012672,1582685,3956192
EfficientNet-B0 Pruned 60%,0.6,0.591502868911289,0.5999473736360621,0.4289340101522843,0.39226583824418704,1.7995523159879112,15.598246574401855,6.658599853515625,1.0829812984176095,2373507,4012672,2373507,3956192
EfficientNet-B0 Pruned 80%,0.8,0.7888232579189128,0.800084778494067,0.25380710659898476,0.10121457489878542,1.4329053472141324,15.598246574401855,4.011247634887695,1.2048119820919132,3165289,4012672,3165289,3956192
