model,target_pruning,total_sparsity,conv_sparsity,test_accuracy,test_macro_f1,test_loss,model_size_mb,compressed_size_mb,inference_time_ms_per_image,zero_params,total_params,conv_zero_params,conv_total_params
EfficientNet-B0 Dense,0.0,0.0,0.0,0.9663608562691132,0.9669677875620498,0.15579530483272655,15.596606254577637,14.393396377563477,1.1498971816596635,0,4012672,0,3956192
EfficientNet-B0 Pruned 20%,0.2,0.19710133297712845,0.19991522150593297,0.9694189602446484,0.9718379814500787,0.10511920986688533,15.598246574401855,11.83901596069336,1.170815313263406,790903,4012672,790903,3956192
EfficientNet-B0 Pruned 40%,0.4,0.3944217219847523,0.40005262636393785,0.9357798165137615,0.9386329917661315,0.14775186922936628,15.598246574401855,9.224468231201172,1.1182232369705807,1582685,4012672,1582685,3956192
EfficientNet-B0 Pruned 60%,0.6,0.591502868911289,0.5999473736360621,0.944954128440367,0.9442808035189462,0.1444598264217559,15.598246574401855,6.585587501525879,1.3059804198938771,2373507,4012672,2373507,3956192
EfficientNet-B0 Pruned 80%,0.8,0.7888232579189128,0.800084778494067,0.2874617737003058,0.11163895486935867,1.3615233737758905,15.598246574401855,3.9009761810302734,1.197421951760575,3165289,4012672,3165289,3956192
